text,user_action,selenium_step,user_comment,label,priority,browser_log
TimeoutException: Expected condition failed: waiting for visibility of By.id: login-btn,CLICK #login-btn,STEP_ACTION: Login,Bouton invisible après 10s,Selenium Timeout,High,error: connection reset by peer
StaleElementReferenceException: element is not attached to the page document,CLICK .refresh,STEP_WAIT: Refreshing,DOM rafraîchi pendant l'action,Selenium Sync,Low,warn: DOM mutation detected
NoSuchElementException: Unable to locate element: .success-msg,VERIFY text,STEP_VERIFY: Success,Message de succès absent,Functional Bug,Critical,info: navigation to /dashboard failed
ElementClickInterceptedException: Element is not clickable at point,CLICK #submit,STEP_ACTION: Submit,Popup/Overlay cache le bouton,UI Overlay,Medium,error: modal-backdrop active
HTTP 500 Internal Server Error: /api/v1/user/profile,LOAD Page,STEP_INIT: Profile,Le backend a crashé au chargement,Backend Error,Critical,error: java.lang.NullPointerException
AssertionError: expected 'Welcome Admin' but found 'Login',VERIFY title,STEP_CHECK: Auth,Redirection incorrecte après login,Auth Flow Bug,High,info: cookie session expired
InvalidElementStateException: invalid element state: element not interactable,"TYPE ""admin""",STEP_INPUT: Username,Le champ est en lecture seule (readonly),UI State Error,Low,warn: input field disabled
JavascriptException: Cannot read property 'map' of undefined,SCROLL down,STEP_UI: List,Crash JS lors du rendu de la liste,JS Framework Error,Medium,error: TypeError at main.js:42
HTTP 403 Forbidden: Access Denied,CLICK #admin-panel,STEP_NAV: Admin,L'utilisateur n'a pas les droits requis,Permission Error,High,error: JWT token invalid
WebDriverException: unknown error: net::ERR_CONNECTION_REFUSED,OPEN url,STEP_START: Init,Le serveur de test est éteint,Infrastructure,Critical,error: network unreachable
NoSuchWindowException: no such window: target window already closed,SWITCH window,STEP_NAV: Tab,La popup s'est fermée inopinément,Selenium Logic,Medium,warn: window handle not found
Expected condition failed: waiting for visibility of element located by By.cssSelector: .flash.success,Auto-Detected,,Bouton ou élément '.flash.success' invisible après 10s,New_Anomalie_Expected_condition_failed:,HIGH,No logs
"Expected condition failed: waiting for element to be clickable: By.xpath: //div[text()='Sauce Labs Backpack']/ancestor::div[contains(@class,'inventory_item')]//button",Auto-Detected,,Élément 'l'élément' présent mais non cliquable (interrompu ou désactivé),New_Anomalie_Expected_condition_failed:,HIGH,No logs
"Expected condition failed: waiting for element to be clickable: By.xpath: //div[text()='Sauce Labs Bolt T-Shirt']/ancestor::div[contains(@class,'inventory_item')]//button",Auto-Detected,,Élément 'l'élément' présent mais non cliquable (interrompu ou désactivé),New_Anomalie_Expected_condition_failed:,HIGH,No logs
Expected condition failed: waiting for element to be clickable: By.cssSelector: button[id^='add-to-cart'],Auto-Detected,,Élément 'button' présent mais non cliquable (interrompu ou désactivé),New_Anomalie_Expected_condition_failed:,HIGH,No logs
Expected condition failed: waiting for element to be clickable: By.id: react-burger-menu-btn,Auto-Detected,,Élément 'react-burger-menu-btn' présent mais non cliquable (interrompu ou désactivé),New_Anomalie_Expected_condition_failed:,HIGH,No logs
Expected condition failed: waiting for element to be clickable: By.id: checkout,Auto-Detected,,Élément 'checkout' présent mais non cliquable (interrompu ou désactivé),New_Anomalie_Expected_condition_failed:,HIGH,No logs
"Cannot invoke ""org.openqa.selenium.JavascriptExecutor.executeScript(String, Object[])"" because ""this.js"" is null",Auto-Detected,,Anomalie ou action en timeout sur l'application,"New_Anomalie_Cannot_invoke_""org.openqa.selenium.JavascriptExecutor.executeScript(String,",HIGH,No logs
Cart badge should show 1 but was 0 ==> expected: <1> but was: <0>,Auto-Detected,,Anomalie ou action en timeout sur l'application,New_Anomalie_Cart_badge_should,HIGH,No logs
invalid session id: session deleted as the browser has closed the connection,Auto-Detected,,Anomalie ou action en timeout sur l'application,New_Anomalie_invalid_session_id:,HIGH,No logs
invalid session id,Auto-Detected,,Anomalie ou action en timeout sur l'application,New_Anomalie_invalid_session_id,HIGH,No logs
"no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//form[@id='checkboxes']/input[1]""}",Auto-Detected,When the user clicks on checkbox 2,Élément '//form[@id='checkboxes']/input[1]' introuvable dans la page,New_Anomalie_no_such_element:,HIGH,No logs
"no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//form[@id='checkboxes']/input[2]""}",Auto-Detected,,Élément '//form[@id='checkboxes']/input[2]' introuvable dans la page,New_Anomalie_no_such_element:,HIGH,No logs
"no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#start button""}",Auto-Detected,"Then the loading finish text should be ""Hello World!""",Élément '#start button' introuvable dans la page,New_Anomalie_no_such_element:,HIGH,No logs
Expected condition failed: waiting for visibility of element located by By.cssSelector: .flash.error,Auto-Detected,,Bouton ou élément '.flash.error' invisible après 10s,New_Anomalie_Expected_condition_failed:,HIGH,No logs
"Unable to obtain: Capabilities {browserName: chrome, goog:chromeOptions: {args: [--user-data-dir=C:/Users/le..., --remote-allow-origins=*], excludeSwitches: [enable-automation], extensions: [], useAutomationExtension: false}}, error Command failed with code: 65, executed: [--browser, chrome, --output, json]",Auto-Detected,When the user clicks on checkbox 1,Anomalie ou action en timeout sur l'application,New_Anomalie_Unable_to_obtain:,HIGH,No logs
Failed to fill checkout info,Auto-Detected,,Anomalie ou action en timeout sur l'application,New_Anomalie_Failed_to_fill,HIGH,No logs
Could not start a new session. Response code 500. Message: session not created,Auto-Detected,When the user adds the first product to the cart,Erreur interne du serveur distant (Erreur 500),New_Anomalie_Could_not_start,HIGH,No logs
